"original_model_model;""scaled_model_id""",original_model_model,scaled_model_id,,,,,,,,,
100.919.00-cup;18645,100.919.00-cup,18645,"""",""" ","""18645"" ","18645,",",","18645:""100.919.00-cup"" ,",,,
100.922.16;18646,100.922.16,18646,"""",""" ","""18646"" ","18646,",",","18646:""100.922.16"" ,",,,
101.236.56-saucer;18647,101.236.56-saucer,18647,"""",""" ","""18647"" ","18647,",",","18647:""101.236.56-saucer"" ,",,,
101.236.56-cup;18648,101.236.56-cup,18648,"""",""" ","""18648"" ","18648,",",","18648:""101.236.56-cup"" ,",,,
101.328.92;18649,101.328.92,18649,"""",""" ","""18649"" ","18649,",",","18649:""101.328.92"" ,",,,
200.572.55;18650,200.572.55,18650,"""",""" ","""18650"" ","18650,",",","18650:""200.572.55"" ,",,,
200.847.15;18652,200.847.15,18652,"""",""" ","""18652"" ","18652,",",","18652:""200.847.15"" ,",,,
300.834.71;18654,300.834.71,18654,"""",""" ","""18654"" ","18654,",",","18654:""300.834.71"" ,",,,
200.921.07;18655,200.921.07,18655,"""",""" ","""18655"" ","18655,",",","18655:""200.921.07"" ,",,,
201.327.78;18656,201.327.78,18656,"""",""" ","""18656"" ","18656,",",","18656:""201.327.78"" ,",,,
201.323.68;18658,201.323.68,18658,"""",""" ","""18658"" ","18658,",",","18658:""201.323.68"" ,",,,
201.324.48;18659,201.324.48,18659,"""",""" ","""18659"" ","18659,",",","18659:""201.324.48"" ,",,,
201.416.26saucer;18660,201.416.26saucer,18660,"""",""" ","""18660"" ","18660,",",","18660:""201.416.26saucer"" ,",,,
201.416.26cup;18661,201.416.26cup,18661,"""",""" ","""18661"" ","18661,",",","18661:""201.416.26cup"" ,",,,
300.151.23;18662,300.151.23,18662,"""",""" ","""18662"" ","18662,",",","18662:""300.151.23"" ,",,,
300.631.28saucer;18663,300.631.28saucer,18663,"""",""" ","""18663"" ","18663,",",","18663:""300.631.28saucer"" ,",,,
300.63.28cup;18664,300.63.28cup,18664,"""",""" ","""18664"" ","18664,",",","18664:""300.63.28cup"" ,",,,
301.333.91saucer;18701,301.333.91saucer,18701,"""",""" ","""18701"" ","18701,",",","18701:""301.333.91saucer"" ,",,,
301.333.91cup;18702,301.333.91cup,18702,"""",""" ","""18702"" ","18702,",",","18702:""301.333.91cup"" ,",,,
401.324.52;18703,401.324.52,18703,"""",""" ","""18703"" ","18703,",",","18703:""401.324.52"" ,",,,
401.463.45;18704,401.463.45,18704,"""",""" ","""18704"" ","18704,",",","18704:""401.463.45"" ,",,,
501.161.78;18705,501.161.78,18705,"""",""" ","""18705"" ","18705,",",","18705:""501.161.78"" ,",,,
600.572.58;18706,600.572.58,18706,"""",""" ","""18706"" ","18706,",",","18706:""600.572.58"" ,",,,
600.632.97;18707,600.632.97,18707,"""",""" ","""18707"" ","18707,",",","18707:""600.632.97"" ,",,,
600.817.34;18708,600.817.34,18708,"""",""" ","""18708"" ","18708,",",","18708:""600.817.34"" ,",,,
600.832.62sm;18709,600.832.62sm,18709,"""",""" ","""18709"" ","18709,",",","18709:""600.832.62sm"" ,",,,
600.832.62lrg;18710,600.832.62lrg,18710,"""",""" ","""18710"" ","18710,",",","18710:""600.832.62lrg"" ,",,,
601.317.05;18711,601.317.05,18711,"""",""" ","""18711"" ","18711,",",","18711:""601.317.05"" ,",,,
700.580.64;18712,700.580.64,18712,"""",""" ","""18712"" ","18712,",",","18712:""700.580.64"" ,",,,
701.323.99saucer;18713,701.323.99saucer,18713,"""",""" ","""18713"" ","18713,",",","18713:""701.323.99saucer"" ,",,,
701.323.99cup;18714,701.323.99cup,18714,"""",""" ","""18714"" ","18714,",",","18714:""701.323.99cup"" ,",,,
701.333.94cup;18715,701.333.94cup,18715,"""",""" ","""18715"" ","18715,",",","18715:""701.333.94cup"" ,",,,
800.817.33;18716,800.817.33,18716,"""",""" ","""18716"" ","18716,",",","18716:""800.817.33"" ,",,,
800.921.09;18717,800.921.09,18717,"""",""" ","""18717"" ","18717,",",","18717:""800.921.09"" ,",,,
800.921.14;18718,800.921.14,18718,"""",""" ","""18718"" ","18718,",",","18718:""800.921.14"" ,",,,
200.01.0168;18735,200.01.0168,18735,"""",""" ","""18735"" ","18735,",",","18735:""200.01.0168"" ,",,,
200.01.0426-brown-smallest;18739,200.01.0426-brown-smallest,18739,"""",""" ","""18739"" ","18739,",",","18739:""200.01.0426-brown-smallest"" ,",,,
242.11.4180;18786,242.11.4180,18786,"""",""" ","""18786"" ","18786,",",","18786:""242.11.4180"" ,",,,
242.07.2123;18787,242.07.2123,18787,"""",""" ","""18787"" ","18787,",",","18787:""242.07.2123"" ,",,,
